ID,TRL_TITL,TRIAL_ID,ENTRYNO,ENTRY,COUNTRY,LOCATION,DESCRIPTION,LONGITUDE,LATITUDE,AEZONE,YEAR,YIELD,YIELD2,DY_SK,PL_HT,E_HT,ASI,P_ASP,P_HARV,E_HARV,E_ASP,GWT,1000GWT,HUSK,RL,RLPER,SL,SLPER,E_ROT,RUST,BLIGHT,CURV,DIPLODIA,DM,ANTHESIS,STALK_ROT,STREAK,INSECT,MOIST,COBDAMCO,COBDAMRT,DEADHEART,SBDAMAT,BORERDMRAT,GLS,GTEXT,PLST,Pest_Risk_Score
20,0,2,8,12,0,0,0,28.37,-14.17,0,1990,6053.0,0,66.0,201.0,106.0,2.0266666666666664,3.3,43.0,41.0,2.3,0,0,6.966666666666668,2.2666666666666666,21.0,2.8266666666666667,15.0,0.5249999999999999,1.8666666666666663,2.3,0,0,0,85.5,0,0.75,0,11.75,0,0,0,0,0,0,0,15.5,1845.8249999999998
21,0,2,9,13,0,0,0,28.37,-14.17,0,1990,7921.0,0,68.0,258.0,123.0,2.0266666666666664,2.0,44.0,40.0,2.0,0,0,6.966666666666668,2.2666666666666666,9.0,2.8266666666666667,4.0,0.5249999999999999,1.8666666666666663,1.5,0,0,0,79.5,0,0.75,0,8.1,0,0,0,0,0,0,0,18.5,2405.93
22,0,3,1,2,0,2,0,27.07,-16.83,1,1990,5756.0,0,75.0,140.0,76.0,2.0266666666666664,1.0,41.0,40.0,2.8,0,0,1.3,2.2666666666666666,11.4375,2.8266666666666667,1.0,0.5249999999999999,1.5,1.0,0,0,0,78.5,0,0.75,0,16.45,0,0,0,0,0,0,0,22.0,1761.735
23,0,3,2,7,0,2,0,27.07,-16.83,1,1990,6549.0,0,68.0,148.0,65.0,2.0266666666666664,1.8,38.0,36.0,2.5,0,0,1.8,2.2666666666666666,11.4375,2.8266666666666667,1.0,0.5249999999999999,1.8,1.0,0,0,0,79.0,0,0.75,0,11.05,0,0,0,0,0,0,0,21.0,1995.215
24,0,3,3,8,0,2,0,27.07,-16.83,1,1990,4414.0,0,70.0,130.0,44.0,2.0266666666666664,1.3,37.0,36.0,3.0,0,0,1.3,2.2666666666666666,11.4375,2.8266666666666667,3.272727272727273,0.5249999999999999,1.8,1.0,0,0,0,80.0,0,0.75,0,15.6,0,0,0,0,0,0,0,20.5,1356.88
25,0,3,4,9,0,2,0,27.07,-16.83,1,1990,6085.0,0,70.0,160.0,73.0,2.0266666666666664,1.0,35.0,37.0,2.0,0,0,2.0,2.2666666666666666,11.4375,2.8266666666666667,1.0,0.5249999999999999,2.0,1.0,0,0,0,77.5,0,0.75,0,14.05,0,0,0,0,0,0,0,21.5,1857.715
26,0,3,5,10,0,2,0,27.07,-16.83,1,1990,5367.0,0,68.0,158.0,70.0,2.0266666666666664,2.0,39.0,38.0,2.5,0,0,1.3,2.2666666666666666,11.4375,2.8266666666666667,3.272727272727273,0.5249999999999999,1.8,1.3,0,0,0,77.0,0,0.75,0,13.4,0,0,0,0,0,0,0,21.0,1641.32
27,0,3,6,28,0,2,0,27.07,-16.83,1,1990,7341.0,0,72.0,163.0,81.0,2.0266666666666664,1.5,41.0,43.0,2.0,0,0,1.3,2.2666666666666666,11.4375,2.8266666666666667,1.0,0.5249999999999999,2.3,1.0,0,0,0,77.5,0,0.75,0,10.95,0,0,0,0,0,0,0,22.0,2234.3849999999998
28,0,3,7,11,0,2,0,27.07,-16.83,1,1990,5152.0,0,68.0,138.0,50.0,2.0266666666666664,1.3,32.0,33.0,2.5,0,0,1.8,2.2666666666666666,11.4375,2.8266666666666667,1.0,0.5249999999999999,1.5,1.0,0,0,0,77.5,0,0.75,0,16.6,0,0,0,0,0,0,0,22.0,1577.78
29,0,3,8,12,0,2,0,27.07,-16.83,1,1990,5343.0,0,67.0,166.0,76.0,2.0266666666666664,1.8,36.0,34.0,2.3,0,0,1.3,2.2666666666666666,11.4375,2.8266666666666667,1.0,0.5249999999999999,1.8,1.0,0,0,0,78.0,0,0.75,0,16.45,0,0,0,0,0,0,0,22.0,1634.6349999999998
30,0,3,9,13,0,2,0,27.07,-16.83,1,1990,7691.0,0,67.0,189.0,85.0,2.0266666666666664,1.5,36.0,37.0,2.0,0,0,1.8,2.2666666666666666,1.0,2.8266666666666667,1.0,0.5249999999999999,2.3,1.0,0,0,0,80.0,0,0.75,0,17.55,0,0,0,0,0,0,0,22.0,2339.365
31,2,1,1,14,0,1,0,28.28,-15.42,1,2007,3492.0,0,68.0,144.0,69.0,1.3,2.5,10.0,13.0,2.8,0,0,16.0,5.0,11.4375,2.8,3.272727272727273,0.3,1.8666666666666663,2.0,0,0,0,67.0,0,0.75,0,21.6,0,0,0,0,0,0,0,19.916666666666668,1081.28
32,2,1,2,15,0,1,0,28.28,-15.42,1,2007,2101.0,0,70.5,166.0,89.0,2.3,2.5,11.0,12.0,2.6,0,0,9.3,1.0,11.4375,3.8,3.272727272727273,1.0,1.8666666666666663,1.5,0,0,0,68.0,0,0.75,0,21.7,0,0,0,0,0,0,0,19.916666666666668,665.01
33,2,1,3,16,0,1,0,28.28,-15.42,1,2007,4415.0,0,73.25,139.0,79.0,1.8,2.3,10.0,9.0,2.0,0,0,15.3,2.0,11.4375,2.5,3.272727272727273,0.3,1.8666666666666663,1.6,0,0,0,72.0,0,0.75,0,21.0,0,0,0,0,0,0,0,19.916666666666668,1360.1
34,2,1,4,17,0,1,0,28.28,-15.42,1,2007,2184.0,0,75.25,125.0,64.0,2.3,2.5,9.0,14.0,3.3,0,0,16.0,2.0,11.4375,4.5,3.272727272727273,0.5,1.8666666666666663,1.9,0,0,0,73.0,0,0.75,0,21.3,0,0,0,0,0,0,0,19.916666666666668,691.6899999999999
35,2,1,5,18,0,1,0,28.28,-15.42,1,2007,2159.0,0,74.0,153.0,74.0,2.0,2.4,8.0,14.0,2.4,0,0,8.0,2.0,11.4375,0.8,3.272727272727273,0.5249999999999999,1.8666666666666663,2.1,0,0,0,72.0,0,0.75,0,21.4,0,0,0,0,0,0,0,19.916666666666668,683.7199999999999
36,2,1,6,19,0,1,0,28.28,-15.42,1,2007,991.0,0,74.0,119.0,46.0,1.8,2.9,7.0,5.0,3.7,0,0,7.5,1.0,11.4375,2.5,3.272727272727273,0.5249999999999999,1.8666666666666663,1.8,0,0,0,72.0,0,0.75,0,21.0,0,0,0,0,0,0,0,19.916666666666668,333.2
37,2,1,7,20,0,1,0,28.28,-15.42,1,2007,1105.0,0,80.25,139.0,60.0,2.0,3.3,11.0,3.0,3.5,0,0,5.5,1.0,11.4375,3.8,3.272727272727273,0.3,1.8666666666666663,1.7,0,0,0,78.0,0,0.75,0,21.4,0,0,0,0,0,0,0,19.916666666666668,370.02
38,2,1,8,21,0,1,0,28.28,-15.42,1,2007,1894.0,0,75.25,160.0,80.0,2.3,2.5,9.0,8.0,3.0,0,0,6.5,2.0,11.4375,2.0,3.272727272727273,0.5249999999999999,1.8666666666666663,1.1,0,0,0,73.0,0,0.75,0,19.7,0,0,0,0,0,0,0,19.916666666666668,604.2099999999999
39,2,1,9,22,0,1,0,28.28,-15.42,1,2007,1919.0,0,72.5,158.0,55.0,2.5,2.4,7.0,6.0,2.9,0,0,6.5,4.0,11.4375,3.8,3.272727272727273,0.5249999999999999,1.8666666666666663,1.0,0,0,0,70.0,0,0.75,0,20.9,0,0,0,0,0,0,0,19.916666666666668,610.9699999999999
40,2,1,10,23,0,1,0,28.28,-15.42,1,2007,1077.0,0,75.25,160.0,75.0,1.3,2.9,9.0,4.0,3.1,0,0,4.3,2.0,11.4375,3.8,3.272727272727273,0.5249999999999999,1.8666666666666663,2.1,0,0,0,74.0,0,0.75,0,21.3,0,0,0,0,0,0,0,19.916666666666668,359.59
41,2,1,11,24,0,1,0,28.28,-15.42,1,2007,2626.0,0,73.75,138.0,69.0,2.0,2.5,9.0,12.0,3.5,0,0,12.5,2.0,11.4375,1.8,3.272727272727273,1.0,1.8666666666666663,1.9,0,0,0,72.0,0,0.75,0,20.8,0,0,0,0,0,0,0,19.916666666666668,823.54
42,2,1,12,25,0,1,0,28.28,-15.42,1,2007,2713.0,0,75.25,158.0,82.0,2.0,2.3,8.0,12.0,3.2,0,0,10.3,2.0,11.4375,2.5,3.272727272727273,0.3,1.8666666666666663,2.0,0,0,0,73.0,0,0.75,0,20.9,0,0,0,0,0,0,0,19.916666666666668,850.27
43,2,1,13,26,0,1,0,28.28,-15.42,1,2007,1417.0,0,74.75,161.0,39.0,3.0,2.5,9.0,7.0,3.3,0,0,5.3,2.0,11.4375,1.5,3.272727272727273,0.5249999999999999,1.8666666666666663,1.6,0,0,0,72.0,0,0.75,0,21.0,0,0,0,0,0,0,0,19.916666666666668,461.29999999999995
44,2,1,14,0,0,1,0,28.28,-15.42,1,2007,3686.0,0,73.5,110.0,68.0,2.3,2.8,8.0,9.0,3.0,0,0,12.0,1.0,11.4375,1.8,3.272727272727273,0.5249999999999999,1.8666666666666663,1.8,0,0,0,71.0,0,0.75,0,21.1,0,0,0,0,0,0,0,19.916666666666668,1141.53
45,2,1,15,6,0,1,0,28.28,-15.42,1,2007,3564.0,0,68.0,174.0,76.0,1.5,2.4,11.0,17.0,2.8,0,0,18.3,5.0,11.4375,4.5,3.272727272727273,0.5,1.8666666666666663,2.4,0,0,0,67.0,0,0.75,0,20.6,0,0,0,0,0,0,0,19.916666666666668,1102.5800000000002
